id,name,body,background,category,category2,type,thc
318,Venom OG,Green,Red,OG,Fantasy / Spooky,Hybrid,26
320,Ghost Train Haze,White,Green,Haze,Fantasy / Spooky,Mostly Sativa,27
321,Power Plant,Grey,Black,-,Neon,Mostly Sativa,21
322,Unicorn Poop, Multi-Color,Blue / Green,-,Fantasy,Hybrid,28
323,Royal Cookies,Brown,Purple,Cookies,Food / Sweets,Hybrid,27
324,Hell's OG,Orange,Black,OG,Spooky,Hybrid,26
325,Brain Cake,Pink / Brown,Purple / Pink,-,Food / Sweets,Hybrid,24
326,Triangle Kush,Green,Purple / Blue,Kush,OTHER,Mostly Indica,26
327,Elixir CBD,Purple,Black,-,Fantasy / Neon,Mostly Sativa,5
328,Lavender,Green,Purple,-,Plants,Mostly Indica,21
329,Gorilla Cookies,Brown,Brown,Cookies,Food / Sweets / Animals,Mostly Indica,26
330,Lemon Ice,Yellow / Brown,Blue / Green,-,Food / Fruits / Sweets / Ice Cream,Mostly Indica,25
331,Apollo 11,Grey,Black,-,Space,Mostly Indica,24
332,Jelly Breath,Green,Blue / Green,-,Food / Sweets,Hybrid,26
333,Deadhead OG,White,Green,OG,Spooky,Hybrid,23
334,Electric Jellyfish,Green,Black,-,Animals / Neon,Hybrid,26
335,Cookie Glue,Brown,Purple,Glue,Food / Sweets,Mostly Indica,27
336,Tangie,Orange,Purple / Pink,-,Food / Fruits,Mostly Sativa,23
337,Mimosa,Purple,Green,-,Plants,Mostly Indica,26
338,Crystal Coma,Green,Black,-,Gemstones / Neon,Mostly Indica,26
339,Stracciatella,White / Brown,Brown,-,Food / Sweets / Ice Cream,Mostly Sativa,25
340,Master Kush,Orange,Orange,Kush,Legendary,Mostly Indica,21
341,Black Domina,Black,Purple,-,Legendary,Mostly Indica,21
342,Flat Brainers,Pink,Pink,-,OTHER,Hybrid,25
343,Diamond Dust OG, Multi-Color,Black,OG,Gemstones,Hybrid,23
344,Ace of Spades,White,Black,-,OTHER,Hybrid,21
345,Money Maker,Black,Green,-,OTHER,Mostly Indica,24
346,Cereal Milk, Multi-Color,Blue,-,Food / Sweets,Hybrid,25
347,Galactic Glue,Green,Black,Glue,Space / Neon,Hybrid,21
348,Chocoholic,Brown,Pink / Orange,-,Food / Sweets,Hybrid,19
349, Agent Orange,Orange,Purple / Pink,-,Food / Fruits,Hybrid,21
350,GMO Cookies,Brown,Purple,Cookies,Food / Sweets,Hybrid,24
351,Critical Mass,Orange,Purple,-,Legendary,Hybrid,21
352,Northern Wreck, Multi-Color,White,-,OTHER,Hybrid,21
353,Crystal Rain,Green,Black,-,Gemstones / Neon,Mostly Indica,22
354,Monster Glue,Green,Blue / Green,Glue,Spooky,Mostly Indica,26
355,Acid Dough, Multi-Color,Green,-,Food / Sweets / Trippy,Mostly Sativa,24
356,Moon Cookies,Brown,Black,Cookies,Food / Sweets / Space,Mostly Indica,26
357,Afghan Kush,White / Black,Blue / Green,Kush,Legendary,Mostly Indica,18
358,Durban Poison,Orange / Yellow,Green,-,Legendary,Mostly Sativa,19
359,Rocket Fuel,Green,Black,-,Space / Neon,Hybrid,22
360,Thai Stick,Green,Green,-,Legendary,Mostly Sativa,12
